inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_1450.rt,Table1,BeArFs,1450,consistency,Inconsistent,Inconsistent,58.317
./benchmarkTables/Table1_1450.rt,Table1,BeArVs,1450,consistency,Inconsistent,Inconsistent,58.649
./benchmarkTables/Table1_1450.rt,Table1,BeUfFs,1450,consistency,Inconsistent,Inconsistent,8.647
./benchmarkTables/Table1_1450.rt,Table1,BeUfVs,1450,consistency,Inconsistent,Inconsistent,7.976
./benchmarkTables/Table2_1450.rt,Table2,BeArFs,1450,consistency,Inconsistent,Inconsistent,55.279
./benchmarkTables/Table2_1450.rt,Table2,BeArVs,1450,consistency,Inconsistent,Inconsistent,54.030
./benchmarkTables/Table2_1450.rt,Table2,BeUfFs,1450,consistency,Inconsistent,Inconsistent,8.144
./benchmarkTables/Table2_1450.rt,Table2,BeUfVs,1450,consistency,Inconsistent,Inconsistent,7.559
./benchmarkTables/Table3_1450.rt,Table3,BeArFs,1450,consistency,Unknown,Consistent,7147.701
./benchmarkTables/Table3_1450.rt,Table3,BeArVs,1450,consistency,Unknown,Consistent,7146.617
./benchmarkTables/Table3_1450.rt,Table3,BeUfFs,1450,consistency,Unknown,Consistent,7142.930
./benchmarkTables/Table3_1450.rt,Table3,BeUfVs,1450,consistency,Unknown,Consistent,7143.717
./benchmarkTables/Table4_1450.rt,Table4,BeArFs,1450,consistency,Unknown,Consistent,7102.106
./benchmarkTables/Table4_1450.rt,Table4,BeArVs,1450,consistency,Unknown,Consistent,7097.924
./benchmarkTables/Table4_1450.rt,Table4,BeUfFs,1450,consistency,Unknown,Consistent,7101.535
./benchmarkTables/Table4_1450.rt,Table4,BeUfVs,1450,consistency,Unknown,Consistent,7099.176
./benchmarkTables/Table1_1500.rt,Table1,BeArFs,1500,consistency,Inconsistent,Inconsistent,63.017
./benchmarkTables/Table1_1500.rt,Table1,BeArVs,1500,consistency,Inconsistent,Inconsistent,61.958
./benchmarkTables/Table1_1500.rt,Table1,BeUfFs,1500,consistency,Inconsistent,Inconsistent,9.346
./benchmarkTables/Table1_1500.rt,Table1,BeUfVs,1500,consistency,Inconsistent,Inconsistent,8.853
./benchmarkTables/Table2_1500.rt,Table2,BeArFs,1500,consistency,Inconsistent,Inconsistent,62.784
./benchmarkTables/Table2_1500.rt,Table2,BeArVs,1500,consistency,Inconsistent,Inconsistent,61.847
./benchmarkTables/Table2_1500.rt,Table2,BeUfFs,1500,consistency,Inconsistent,Inconsistent,8.910
./benchmarkTables/Table2_1500.rt,Table2,BeUfVs,1500,consistency,Inconsistent,Inconsistent,8.227
./benchmarkTables/Table3_1500.rt,Table3,BeArFs,1500,consistency,Unknown,Consistent,7145.023
./benchmarkTables/Table3_1500.rt,Table3,BeArVs,1500,consistency,Unknown,Consistent,7144.781
./benchmarkTables/Table3_1500.rt,Table3,BeUfFs,1500,consistency,Unknown,Consistent,7144.948
./benchmarkTables/Table3_1500.rt,Table3,BeUfVs,1500,consistency,Unknown,Consistent,7144.571
./benchmarkTables/Table4_1500.rt,Table4,BeArFs,1500,consistency,Unknown,Consistent,7098.210
./benchmarkTables/Table4_1500.rt,Table4,BeArVs,1500,consistency,Unknown,Consistent,7095.332
./benchmarkTables/Table4_1500.rt,Table4,BeUfFs,1500,consistency,Unknown,Consistent,7096.052
./benchmarkTables/Table4_1500.rt,Table4,BeUfVs,1500,consistency,Unknown,Consistent,7093.710
