inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_50.rt,Table1,BeArFs,150,completeness,Incomplete,Incomplete,0.757
./benchmarkTables/Table1_50.rt,Table1,BeArVs,150,completeness,Incomplete,Incomplete,0.710
./benchmarkTables/Table1_50.rt,Table1,BeUfFs,150,completeness,Incomplete,Incomplete,0.773
./benchmarkTables/Table1_50.rt,Table1,BeUfVs,150,completeness,Incomplete,Incomplete,0.703
./benchmarkTables/Table2_50.rt,Table2,BeArFs,150,completeness,Complete,Complete,0.648
./benchmarkTables/Table2_50.rt,Table2,BeArVs,150,completeness,Complete,Complete,0.603
./benchmarkTables/Table2_50.rt,Table2,BeUfFs,150,completeness,Complete,Complete,0.641
./benchmarkTables/Table2_50.rt,Table2,BeUfVs,150,completeness,Complete,Complete,0.590
./benchmarkTables/Table3_50.rt,Table3,BeArFs,150,completeness,Incomplete,Incomplete,0.844
./benchmarkTables/Table3_50.rt,Table3,BeArVs,150,completeness,Incomplete,Incomplete,0.826
./benchmarkTables/Table3_50.rt,Table3,BeUfFs,150,completeness,Incomplete,Incomplete,0.862
./benchmarkTables/Table3_50.rt,Table3,BeUfVs,150,completeness,Incomplete,Incomplete,0.811
./benchmarkTables/Table4_50.rt,Table4,BeArFs,150,completeness,Complete,Complete,0.801
./benchmarkTables/Table4_50.rt,Table4,BeArVs,150,completeness,Complete,Complete,0.761
./benchmarkTables/Table4_50.rt,Table4,BeUfFs,150,completeness,Complete,Complete,0.775
./benchmarkTables/Table4_50.rt,Table4,BeUfVs,150,completeness,Complete,Complete,0.754
./benchmarkTables/Table1_100.rt,Table1,BeArFs,200,completeness,Incomplete,Incomplete,0.827
./benchmarkTables/Table1_100.rt,Table1,BeArVs,200,completeness,Incomplete,Incomplete,0.805
./benchmarkTables/Table1_100.rt,Table1,BeUfFs,200,completeness,Incomplete,Incomplete,0.825
./benchmarkTables/Table1_100.rt,Table1,BeUfVs,200,completeness,Incomplete,Incomplete,0.810
./benchmarkTables/Table2_100.rt,Table2,BeArFs,200,completeness,Complete,Complete,0.680
./benchmarkTables/Table2_100.rt,Table2,BeArVs,200,completeness,Complete,Complete,0.657
./benchmarkTables/Table2_100.rt,Table2,BeUfFs,200,completeness,Complete,Complete,0.676
./benchmarkTables/Table2_100.rt,Table2,BeUfVs,200,completeness,Complete,Complete,0.627
./benchmarkTables/Table3_100.rt,Table3,BeArFs,200,completeness,Incomplete,Incomplete,0.956
./benchmarkTables/Table3_100.rt,Table3,BeArVs,200,completeness,Incomplete,Incomplete,0.916
./benchmarkTables/Table3_100.rt,Table3,BeUfFs,200,completeness,Incomplete,Incomplete,0.943
./benchmarkTables/Table3_100.rt,Table3,BeUfVs,200,completeness,Incomplete,Incomplete,0.936
./benchmarkTables/Table4_100.rt,Table4,BeArFs,200,completeness,Complete,Complete,0.878
./benchmarkTables/Table4_100.rt,Table4,BeArVs,200,completeness,Complete,Complete,0.847
./benchmarkTables/Table4_100.rt,Table4,BeUfFs,200,completeness,Complete,Complete,0.877
./benchmarkTables/Table4_100.rt,Table4,BeUfVs,200,completeness,Complete,Complete,0.807
./benchmarkTables/Table1_150.rt,Table1,BeArFs,250,completeness,Incomplete,Incomplete,0.886
./benchmarkTables/Table1_150.rt,Table1,BeArVs,250,completeness,Incomplete,Incomplete,0.855
./benchmarkTables/Table1_150.rt,Table1,BeUfFs,250,completeness,Incomplete,Incomplete,0.888
./benchmarkTables/Table1_150.rt,Table1,BeUfVs,250,completeness,Incomplete,Incomplete,0.858
./benchmarkTables/Table2_150.rt,Table2,BeArFs,250,completeness,Complete,Complete,0.708
./benchmarkTables/Table2_150.rt,Table2,BeArVs,250,completeness,Complete,Complete,0.664
./benchmarkTables/Table2_150.rt,Table2,BeUfFs,250,completeness,Complete,Complete,0.703
./benchmarkTables/Table2_150.rt,Table2,BeUfVs,250,completeness,Complete,Complete,0.670
./benchmarkTables/Table3_150.rt,Table3,BeArFs,250,completeness,Incomplete,Incomplete,1.053
./benchmarkTables/Table3_150.rt,Table3,BeArVs,250,completeness,Incomplete,Incomplete,1.005
./benchmarkTables/Table3_150.rt,Table3,BeUfFs,250,completeness,Incomplete,Incomplete,1.050
./benchmarkTables/Table3_150.rt,Table3,BeUfVs,250,completeness,Incomplete,Incomplete,1.007
./benchmarkTables/Table4_150.rt,Table4,BeArFs,250,completeness,Complete,Complete,0.926
./benchmarkTables/Table4_150.rt,Table4,BeArVs,250,completeness,Complete,Complete,0.906
./benchmarkTables/Table4_150.rt,Table4,BeUfFs,250,completeness,Complete,Complete,0.900
./benchmarkTables/Table4_150.rt,Table4,BeUfVs,250,completeness,Complete,Complete,0.910
./benchmarkTables/Table1_200.rt,Table1,BeArFs,300,completeness,Incomplete,Incomplete,0.962
./benchmarkTables/Table1_200.rt,Table1,BeArVs,300,completeness,Incomplete,Incomplete,0.917
./benchmarkTables/Table1_200.rt,Table1,BeUfFs,300,completeness,Incomplete,Incomplete,0.955
./benchmarkTables/Table1_200.rt,Table1,BeUfVs,300,completeness,Incomplete,Incomplete,0.923
./benchmarkTables/Table2_200.rt,Table2,BeArFs,300,completeness,Complete,Complete,0.744
./benchmarkTables/Table2_200.rt,Table2,BeArVs,300,completeness,Complete,Complete,0.731
./benchmarkTables/Table2_200.rt,Table2,BeUfFs,300,completeness,Complete,Complete,0.734
./benchmarkTables/Table2_200.rt,Table2,BeUfVs,300,completeness,Complete,Complete,0.701
./benchmarkTables/Table3_200.rt,Table3,BeArFs,300,completeness,Incomplete,Incomplete,1.146
./benchmarkTables/Table3_200.rt,Table3,BeArVs,300,completeness,Incomplete,Incomplete,1.099
./benchmarkTables/Table3_200.rt,Table3,BeUfFs,300,completeness,Incomplete,Incomplete,1.153
./benchmarkTables/Table3_200.rt,Table3,BeUfVs,300,completeness,Incomplete,Incomplete,1.123
./benchmarkTables/Table4_200.rt,Table4,BeArFs,300,completeness,Complete,Complete,0.996
./benchmarkTables/Table4_200.rt,Table4,BeArVs,300,completeness,Complete,Complete,0.964
./benchmarkTables/Table4_200.rt,Table4,BeUfFs,300,completeness,Complete,Complete,1.002
./benchmarkTables/Table4_200.rt,Table4,BeUfVs,300,completeness,Complete,Complete,0.955
./benchmarkTables/Table1_250.rt,Table1,BeArFs,350,completeness,Incomplete,Incomplete,1.059
./benchmarkTables/Table1_250.rt,Table1,BeArVs,350,completeness,Incomplete,Incomplete,0.996
./benchmarkTables/Table1_250.rt,Table1,BeUfFs,350,completeness,Incomplete,Incomplete,1.046
./benchmarkTables/Table1_250.rt,Table1,BeUfVs,350,completeness,Incomplete,Incomplete,0.990
./benchmarkTables/Table2_250.rt,Table2,BeArFs,350,completeness,Complete,Complete,0.764
./benchmarkTables/Table2_250.rt,Table2,BeArVs,350,completeness,Complete,Complete,0.727
./benchmarkTables/Table2_250.rt,Table2,BeUfFs,350,completeness,Complete,Complete,0.746
./benchmarkTables/Table2_250.rt,Table2,BeUfVs,350,completeness,Complete,Complete,0.725
./benchmarkTables/Table3_250.rt,Table3,BeArFs,350,completeness,Incomplete,Incomplete,1.256
./benchmarkTables/Table3_250.rt,Table3,BeArVs,350,completeness,Incomplete,Incomplete,1.214
./benchmarkTables/Table3_250.rt,Table3,BeUfFs,350,completeness,Incomplete,Incomplete,1.249
./benchmarkTables/Table3_250.rt,Table3,BeUfVs,350,completeness,Incomplete,Incomplete,1.194
./benchmarkTables/Table4_250.rt,Table4,BeArFs,350,completeness,Complete,Complete,1.047
./benchmarkTables/Table4_250.rt,Table4,BeArVs,350,completeness,Complete,Complete,1.022
./benchmarkTables/Table4_250.rt,Table4,BeUfFs,350,completeness,Complete,Complete,1.078
./benchmarkTables/Table4_250.rt,Table4,BeUfVs,350,completeness,Complete,Complete,1.013
./benchmarkTables/Table1_300.rt,Table1,BeArFs,400,completeness,Incomplete,Incomplete,1.123
./benchmarkTables/Table1_300.rt,Table1,BeArVs,400,completeness,Incomplete,Incomplete,1.045
./benchmarkTables/Table1_300.rt,Table1,BeUfFs,400,completeness,Incomplete,Incomplete,1.120
./benchmarkTables/Table1_300.rt,Table1,BeUfVs,400,completeness,Incomplete,Incomplete,1.044
./benchmarkTables/Table2_300.rt,Table2,BeArFs,400,completeness,Complete,Complete,0.800
./benchmarkTables/Table2_300.rt,Table2,BeArVs,400,completeness,Complete,Complete,0.749
./benchmarkTables/Table2_300.rt,Table2,BeUfFs,400,completeness,Complete,Complete,0.778
./benchmarkTables/Table2_300.rt,Table2,BeUfVs,400,completeness,Complete,Complete,0.735
./benchmarkTables/Table3_300.rt,Table3,BeArFs,400,completeness,Incomplete,Incomplete,1.372
./benchmarkTables/Table3_300.rt,Table3,BeArVs,400,completeness,Incomplete,Incomplete,1.342
./benchmarkTables/Table3_300.rt,Table3,BeUfFs,400,completeness,Incomplete,Incomplete,1.364
./benchmarkTables/Table3_300.rt,Table3,BeUfVs,400,completeness,Incomplete,Incomplete,1.299
./benchmarkTables/Table4_300.rt,Table4,BeArFs,400,completeness,Complete,Complete,1.114
./benchmarkTables/Table4_300.rt,Table4,BeArVs,400,completeness,Complete,Complete,1.081
./benchmarkTables/Table4_300.rt,Table4,BeUfFs,400,completeness,Complete,Complete,1.127
./benchmarkTables/Table4_300.rt,Table4,BeUfVs,400,completeness,Complete,Complete,1.094
./benchmarkTables/Table1_350.rt,Table1,BeArFs,450,completeness,Incomplete,Incomplete,1.196
./benchmarkTables/Table1_350.rt,Table1,BeArVs,450,completeness,Incomplete,Incomplete,1.136
./benchmarkTables/Table1_350.rt,Table1,BeUfFs,450,completeness,Incomplete,Incomplete,1.200
./benchmarkTables/Table1_350.rt,Table1,BeUfVs,450,completeness,Incomplete,Incomplete,1.147
./benchmarkTables/Table2_350.rt,Table2,BeArFs,450,completeness,Complete,Complete,0.797
./benchmarkTables/Table2_350.rt,Table2,BeArVs,450,completeness,Complete,Complete,0.754
./benchmarkTables/Table2_350.rt,Table2,BeUfFs,450,completeness,Complete,Complete,0.803
./benchmarkTables/Table2_350.rt,Table2,BeUfVs,450,completeness,Complete,Complete,0.757
./benchmarkTables/Table3_350.rt,Table3,BeArFs,450,completeness,Incomplete,Incomplete,1.489
./benchmarkTables/Table3_350.rt,Table3,BeArVs,450,completeness,Incomplete,Incomplete,1.386
./benchmarkTables/Table3_350.rt,Table3,BeUfFs,450,completeness,Incomplete,Incomplete,1.468
./benchmarkTables/Table3_350.rt,Table3,BeUfVs,450,completeness,Incomplete,Incomplete,1.411
./benchmarkTables/Table4_350.rt,Table4,BeArFs,450,completeness,Complete,Complete,1.204
./benchmarkTables/Table4_350.rt,Table4,BeArVs,450,completeness,Complete,Complete,1.138
./benchmarkTables/Table4_350.rt,Table4,BeUfFs,450,completeness,Complete,Complete,1.189
./benchmarkTables/Table4_350.rt,Table4,BeUfVs,450,completeness,Complete,Complete,1.129
./benchmarkTables/Table1_400.rt,Table1,BeArFs,500,completeness,Incomplete,Incomplete,1.273
./benchmarkTables/Table1_400.rt,Table1,BeArVs,500,completeness,Incomplete,Incomplete,1.204
./benchmarkTables/Table1_400.rt,Table1,BeUfFs,500,completeness,Incomplete,Incomplete,1.271
./benchmarkTables/Table1_400.rt,Table1,BeUfVs,500,completeness,Incomplete,Incomplete,1.183
./benchmarkTables/Table2_400.rt,Table2,BeArFs,500,completeness,Complete,Complete,0.828
./benchmarkTables/Table2_400.rt,Table2,BeArVs,500,completeness,Complete,Complete,0.778
./benchmarkTables/Table2_400.rt,Table2,BeUfFs,500,completeness,Complete,Complete,0.837
./benchmarkTables/Table2_400.rt,Table2,BeUfVs,500,completeness,Complete,Complete,0.774
./benchmarkTables/Table3_400.rt,Table3,BeArFs,500,completeness,Incomplete,Incomplete,1.601
./benchmarkTables/Table3_400.rt,Table3,BeArVs,500,completeness,Incomplete,Incomplete,1.538
./benchmarkTables/Table3_400.rt,Table3,BeUfFs,500,completeness,Incomplete,Incomplete,1.587
./benchmarkTables/Table3_400.rt,Table3,BeUfVs,500,completeness,Incomplete,Incomplete,1.539
./benchmarkTables/Table4_400.rt,Table4,BeArFs,500,completeness,Complete,Complete,1.280
./benchmarkTables/Table4_400.rt,Table4,BeArVs,500,completeness,Complete,Complete,1.193
./benchmarkTables/Table4_400.rt,Table4,BeUfFs,500,completeness,Complete,Complete,1.244
./benchmarkTables/Table4_400.rt,Table4,BeUfVs,500,completeness,Complete,Complete,1.205
./benchmarkTables/Table1_450.rt,Table1,BeArFs,550,completeness,Incomplete,Incomplete,1.361
./benchmarkTables/Table1_450.rt,Table1,BeArVs,550,completeness,Incomplete,Incomplete,1.300
./benchmarkTables/Table1_450.rt,Table1,BeUfFs,550,completeness,Incomplete,Incomplete,1.344
./benchmarkTables/Table1_450.rt,Table1,BeUfVs,550,completeness,Incomplete,Incomplete,1.270
./benchmarkTables/Table2_450.rt,Table2,BeArFs,550,completeness,Complete,Complete,0.860
./benchmarkTables/Table2_450.rt,Table2,BeArVs,550,completeness,Complete,Complete,0.815
./benchmarkTables/Table2_450.rt,Table2,BeUfFs,550,completeness,Complete,Complete,0.859
./benchmarkTables/Table2_450.rt,Table2,BeUfVs,550,completeness,Complete,Complete,0.796
./benchmarkTables/Table3_450.rt,Table3,BeArFs,550,completeness,Incomplete,Incomplete,1.740
./benchmarkTables/Table3_450.rt,Table3,BeArVs,550,completeness,Incomplete,Incomplete,1.646
./benchmarkTables/Table3_450.rt,Table3,BeUfFs,550,completeness,Incomplete,Incomplete,1.713
./benchmarkTables/Table3_450.rt,Table3,BeUfVs,550,completeness,Incomplete,Incomplete,1.613
./benchmarkTables/Table4_450.rt,Table4,BeArFs,550,completeness,Complete,Complete,1.343
./benchmarkTables/Table4_450.rt,Table4,BeArVs,550,completeness,Complete,Complete,1.265
./benchmarkTables/Table4_450.rt,Table4,BeUfFs,550,completeness,Complete,Complete,1.310
./benchmarkTables/Table4_450.rt,Table4,BeUfVs,550,completeness,Complete,Complete,1.273
./benchmarkTables/Table1_500.rt,Table1,BeArFs,600,completeness,Incomplete,Incomplete,1.468
./benchmarkTables/Table1_500.rt,Table1,BeArVs,600,completeness,Incomplete,Incomplete,1.414
./benchmarkTables/Table1_500.rt,Table1,BeUfFs,600,completeness,Incomplete,Incomplete,1.425
./benchmarkTables/Table1_500.rt,Table1,BeUfVs,600,completeness,Incomplete,Incomplete,1.381
./benchmarkTables/Table2_500.rt,Table2,BeArFs,600,completeness,Complete,Complete,0.888
./benchmarkTables/Table2_500.rt,Table2,BeArVs,600,completeness,Complete,Complete,0.800
./benchmarkTables/Table2_500.rt,Table2,BeUfFs,600,completeness,Complete,Complete,0.894
./benchmarkTables/Table2_500.rt,Table2,BeUfVs,600,completeness,Complete,Complete,0.794
./benchmarkTables/Table3_500.rt,Table3,BeArFs,600,completeness,Incomplete,Incomplete,1.873
./benchmarkTables/Table3_500.rt,Table3,BeArVs,600,completeness,Incomplete,Incomplete,1.815
./benchmarkTables/Table3_500.rt,Table3,BeUfFs,600,completeness,Incomplete,Incomplete,1.837
./benchmarkTables/Table3_500.rt,Table3,BeUfVs,600,completeness,Incomplete,Incomplete,1.762
