inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_50.rt,Table1,BeArFs,150,completeness,Incomplete,Incomplete,0.776410256410257
./benchmarkTables/Table1_50.rt,Table1,BeArVs,150,completeness,Incomplete,Incomplete,0.728205128205129
./benchmarkTables/Table1_50.rt,Table1,BeUfFs,150,completeness,Incomplete,Incomplete,0.792820512820513
./benchmarkTables/Table1_50.rt,Table1,BeUfVs,150,completeness,Incomplete,Incomplete,0.721025641025641
./benchmarkTables/Table2_50.rt,Table2,BeArFs,150,completeness,Complete,Complete,0.664615384615384
./benchmarkTables/Table2_50.rt,Table2,BeArVs,150,completeness,Complete,Complete,0.618461538461539
./benchmarkTables/Table2_50.rt,Table2,BeUfFs,150,completeness,Complete,Complete,0.657435897435897
./benchmarkTables/Table2_50.rt,Table2,BeUfVs,150,completeness,Complete,Complete,0.605128205128205
./benchmarkTables/Table3_50.rt,Table3,BeArFs,150,completeness,Incomplete,Incomplete,0.865641025641026
./benchmarkTables/Table3_50.rt,Table3,BeArVs,150,completeness,Incomplete,Incomplete,0.847179487179488
./benchmarkTables/Table3_50.rt,Table3,BeUfFs,150,completeness,Incomplete,Incomplete,0.884102564102563
./benchmarkTables/Table3_50.rt,Table3,BeUfVs,150,completeness,Incomplete,Incomplete,0.831794871794872
./benchmarkTables/Table4_50.rt,Table4,BeArFs,150,completeness,Complete,Complete,0.821538461538461
./benchmarkTables/Table4_50.rt,Table4,BeArVs,150,completeness,Complete,Complete,0.78051282051282
./benchmarkTables/Table4_50.rt,Table4,BeUfFs,150,completeness,Complete,Complete,0.794871794871794
./benchmarkTables/Table4_50.rt,Table4,BeUfVs,150,completeness,Complete,Complete,0.773333333333334
./benchmarkTables/Table1_100.rt,Table1,BeArFs,200,completeness,Incomplete,Incomplete,0.848205128205127
./benchmarkTables/Table1_100.rt,Table1,BeArVs,200,completeness,Incomplete,Incomplete,0.825641025641025
./benchmarkTables/Table1_100.rt,Table1,BeUfFs,200,completeness,Incomplete,Incomplete,0.846153846153846
./benchmarkTables/Table1_100.rt,Table1,BeUfVs,200,completeness,Incomplete,Incomplete,0.83076923076923
./benchmarkTables/Table2_100.rt,Table2,BeArFs,200,completeness,Complete,Complete,0.697435897435897
./benchmarkTables/Table2_100.rt,Table2,BeArVs,200,completeness,Complete,Complete,0.673846153846154
./benchmarkTables/Table2_100.rt,Table2,BeUfFs,200,completeness,Complete,Complete,0.693333333333333
./benchmarkTables/Table2_100.rt,Table2,BeUfVs,200,completeness,Complete,Complete,0.643076923076923
./benchmarkTables/Table3_100.rt,Table3,BeArFs,200,completeness,Incomplete,Incomplete,0.980512820512821
./benchmarkTables/Table3_100.rt,Table3,BeArVs,200,completeness,Incomplete,Incomplete,0.939487179487179
./benchmarkTables/Table3_100.rt,Table3,BeUfFs,200,completeness,Incomplete,Incomplete,0.967179487179487
./benchmarkTables/Table3_100.rt,Table3,BeUfVs,200,completeness,Incomplete,Incomplete,0.96
./benchmarkTables/Table4_100.rt,Table4,BeArFs,200,completeness,Complete,Complete,0.90051282051282
./benchmarkTables/Table4_100.rt,Table4,BeArVs,200,completeness,Complete,Complete,0.868717948717949
./benchmarkTables/Table4_100.rt,Table4,BeUfFs,200,completeness,Complete,Complete,0.899487179487179
./benchmarkTables/Table4_100.rt,Table4,BeUfVs,200,completeness,Complete,Complete,0.827692307692307
./benchmarkTables/Table1_150.rt,Table1,BeArFs,250,completeness,Incomplete,Incomplete,0.908717948717949
./benchmarkTables/Table1_150.rt,Table1,BeArVs,250,completeness,Incomplete,Incomplete,0.876923076923077
./benchmarkTables/Table1_150.rt,Table1,BeUfFs,250,completeness,Incomplete,Incomplete,0.910769230769231
./benchmarkTables/Table1_150.rt,Table1,BeUfVs,250,completeness,Incomplete,Incomplete,0.88
./benchmarkTables/Table2_150.rt,Table2,BeArFs,250,completeness,Complete,Complete,0.726153846153845
./benchmarkTables/Table2_150.rt,Table2,BeArVs,250,completeness,Complete,Complete,0.681025641025642
./benchmarkTables/Table2_150.rt,Table2,BeUfFs,250,completeness,Complete,Complete,0.721025641025641
./benchmarkTables/Table2_150.rt,Table2,BeUfVs,250,completeness,Complete,Complete,0.687179487179488
./benchmarkTables/Table3_150.rt,Table3,BeArFs,250,completeness,Incomplete,Incomplete,1.08
./benchmarkTables/Table3_150.rt,Table3,BeArVs,250,completeness,Incomplete,Incomplete,1.03076923076923
./benchmarkTables/Table3_150.rt,Table3,BeUfFs,250,completeness,Incomplete,Incomplete,1.07692307692308
./benchmarkTables/Table3_150.rt,Table3,BeUfVs,250,completeness,Incomplete,Incomplete,1.03282051282051
./benchmarkTables/Table4_150.rt,Table4,BeArFs,250,completeness,Complete,Complete,0.949743589743589
./benchmarkTables/Table4_150.rt,Table4,BeArVs,250,completeness,Complete,Complete,0.929230769230769
./benchmarkTables/Table4_150.rt,Table4,BeUfFs,250,completeness,Complete,Complete,0.923076923076922
./benchmarkTables/Table4_150.rt,Table4,BeUfVs,250,completeness,Complete,Complete,0.933333333333333
./benchmarkTables/Table1_200.rt,Table1,BeArFs,300,completeness,Incomplete,Incomplete,0.986666666666667
./benchmarkTables/Table1_200.rt,Table1,BeArVs,300,completeness,Incomplete,Incomplete,0.940512820512821
./benchmarkTables/Table1_200.rt,Table1,BeUfFs,300,completeness,Incomplete,Incomplete,0.979487179487178
./benchmarkTables/Table1_200.rt,Table1,BeUfVs,300,completeness,Incomplete,Incomplete,0.946666666666668
./benchmarkTables/Table2_200.rt,Table2,BeArFs,300,completeness,Complete,Complete,0.763076923076923
./benchmarkTables/Table2_200.rt,Table2,BeArVs,300,completeness,Complete,Complete,0.749743589743591
./benchmarkTables/Table2_200.rt,Table2,BeUfFs,300,completeness,Complete,Complete,0.752820512820514
./benchmarkTables/Table2_200.rt,Table2,BeUfVs,300,completeness,Complete,Complete,0.718974358974359
./benchmarkTables/Table3_200.rt,Table3,BeArFs,300,completeness,Incomplete,Incomplete,1.17538461538462
./benchmarkTables/Table3_200.rt,Table3,BeArVs,300,completeness,Incomplete,Incomplete,1.12717948717949
./benchmarkTables/Table3_200.rt,Table3,BeUfFs,300,completeness,Incomplete,Incomplete,1.1825641025641
./benchmarkTables/Table3_200.rt,Table3,BeUfVs,300,completeness,Incomplete,Incomplete,1.15179487179487
./benchmarkTables/Table4_200.rt,Table4,BeArFs,300,completeness,Complete,Complete,1.02153846153846
./benchmarkTables/Table4_200.rt,Table4,BeArVs,300,completeness,Complete,Complete,0.988717948717948
./benchmarkTables/Table4_200.rt,Table4,BeUfFs,300,completeness,Complete,Complete,1.02769230769231
./benchmarkTables/Table4_200.rt,Table4,BeUfVs,300,completeness,Complete,Complete,0.979487179487178
./benchmarkTables/Table1_250.rt,Table1,BeArFs,350,completeness,Incomplete,Incomplete,1.08615384615385
./benchmarkTables/Table1_250.rt,Table1,BeArVs,350,completeness,Incomplete,Incomplete,1.02153846153846
./benchmarkTables/Table1_250.rt,Table1,BeUfFs,350,completeness,Incomplete,Incomplete,1.07282051282051
./benchmarkTables/Table1_250.rt,Table1,BeUfVs,350,completeness,Incomplete,Incomplete,1.01538461538462
./benchmarkTables/Table2_250.rt,Table2,BeArFs,350,completeness,Complete,Complete,0.783589743589743
./benchmarkTables/Table2_250.rt,Table2,BeArVs,350,completeness,Complete,Complete,0.745641025641026
./benchmarkTables/Table2_250.rt,Table2,BeUfFs,350,completeness,Complete,Complete,0.765128205128205
./benchmarkTables/Table2_250.rt,Table2,BeUfVs,350,completeness,Complete,Complete,0.743589743589744
./benchmarkTables/Table3_250.rt,Table3,BeArFs,350,completeness,Incomplete,Incomplete,1.28820512820513
./benchmarkTables/Table3_250.rt,Table3,BeArVs,350,completeness,Incomplete,Incomplete,1.2451282051282
./benchmarkTables/Table3_250.rt,Table3,BeUfFs,350,completeness,Incomplete,Incomplete,1.28102564102564
./benchmarkTables/Table3_250.rt,Table3,BeUfVs,350,completeness,Incomplete,Incomplete,1.22461538461539
./benchmarkTables/Table4_250.rt,Table4,BeArFs,350,completeness,Complete,Complete,1.07384615384615
./benchmarkTables/Table4_250.rt,Table4,BeArVs,350,completeness,Complete,Complete,1.04820512820513
./benchmarkTables/Table4_250.rt,Table4,BeUfFs,350,completeness,Complete,Complete,1.10564102564103
./benchmarkTables/Table4_250.rt,Table4,BeUfVs,350,completeness,Complete,Complete,1.03897435897436
./benchmarkTables/Table1_300.rt,Table1,BeArFs,400,completeness,Incomplete,Incomplete,1.15179487179487
./benchmarkTables/Table1_300.rt,Table1,BeArVs,400,completeness,Incomplete,Incomplete,1.07179487179487
./benchmarkTables/Table1_300.rt,Table1,BeUfFs,400,completeness,Incomplete,Incomplete,1.14871794871795
./benchmarkTables/Table1_300.rt,Table1,BeUfVs,400,completeness,Incomplete,Incomplete,1.07076923076923
./benchmarkTables/Table2_300.rt,Table2,BeArFs,400,completeness,Complete,Complete,0.820512820512821
./benchmarkTables/Table2_300.rt,Table2,BeArVs,400,completeness,Complete,Complete,0.768205128205128
./benchmarkTables/Table2_300.rt,Table2,BeUfFs,400,completeness,Complete,Complete,0.797948717948717
./benchmarkTables/Table2_300.rt,Table2,BeUfVs,400,completeness,Complete,Complete,0.753846153846153
./benchmarkTables/Table3_300.rt,Table3,BeArFs,400,completeness,Incomplete,Incomplete,1.40717948717949
./benchmarkTables/Table3_300.rt,Table3,BeArVs,400,completeness,Incomplete,Incomplete,1.37641025641026
