inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_50.rt,Table1,BeArFs,50,completeness,Incomplete,Incomplete,0.573
./benchmarkTables/Table1_50.rt,Table1,BeArVs,50,completeness,Incomplete,Incomplete,0.525
./benchmarkTables/Table1_50.rt,Table1,BeUfFs,50,completeness,Incomplete,Incomplete,0.534
./benchmarkTables/Table1_50.rt,Table1,BeUfVs,50,completeness,Incomplete,Incomplete,0.518
./benchmarkTables/Table2_50.rt,Table2,BeArFs,50,completeness,Complete,Complete,0.475
./benchmarkTables/Table2_50.rt,Table2,BeArVs,50,completeness,Complete,Complete,0.486
./benchmarkTables/Table2_50.rt,Table2,BeUfFs,50,completeness,Complete,Complete,0.500
./benchmarkTables/Table2_50.rt,Table2,BeUfVs,50,completeness,Complete,Complete,0.471
./benchmarkTables/Table3_50.rt,Table3,BeArFs,50,completeness,Unknown,Incomplete,0.340
./benchmarkTables/Table3_50.rt,Table3,BeArVs,50,completeness,Incomplete,Incomplete,0.551
./benchmarkTables/Table3_50.rt,Table3,BeUfFs,50,completeness,Unknown,Incomplete,0.323
./benchmarkTables/Table3_50.rt,Table3,BeUfVs,50,completeness,Incomplete,Incomplete,0.540
./benchmarkTables/Table4_50.rt,Table4,BeArFs,50,completeness,Complete,Complete,0.535
./benchmarkTables/Table4_50.rt,Table4,BeArVs,50,completeness,Complete,Complete,0.532
./benchmarkTables/Table4_50.rt,Table4,BeUfFs,50,completeness,Complete,Complete,0.510
./benchmarkTables/Table4_50.rt,Table4,BeUfVs,50,completeness,Complete,Complete,0.530
./benchmarkTables/Table1_100.rt,Table1,BeArFs,100,completeness,Incomplete,Incomplete,0.565
./benchmarkTables/Table1_100.rt,Table1,BeArVs,100,completeness,Incomplete,Incomplete,0.560
./benchmarkTables/Table1_100.rt,Table1,BeUfFs,100,completeness,Incomplete,Incomplete,0.555
./benchmarkTables/Table1_100.rt,Table1,BeUfVs,100,completeness,Incomplete,Incomplete,0.562
./benchmarkTables/Table2_100.rt,Table2,BeArFs,100,completeness,Complete,Complete,0.525
./benchmarkTables/Table2_100.rt,Table2,BeArVs,100,completeness,Complete,Complete,0.502
./benchmarkTables/Table2_100.rt,Table2,BeUfFs,100,completeness,Complete,Complete,0.519
./benchmarkTables/Table2_100.rt,Table2,BeUfVs,100,completeness,Complete,Complete,0.500
./benchmarkTables/Table3_100.rt,Table3,BeArFs,100,completeness,Incomplete,Incomplete,0.645
./benchmarkTables/Table3_100.rt,Table3,BeArVs,100,completeness,Incomplete,Incomplete,0.636
./benchmarkTables/Table3_100.rt,Table3,BeUfFs,100,completeness,Incomplete,Incomplete,0.638
./benchmarkTables/Table3_100.rt,Table3,BeUfVs,100,completeness,Incomplete,Incomplete,0.627
./benchmarkTables/Table4_100.rt,Table4,BeArFs,100,completeness,Complete,Complete,0.607
./benchmarkTables/Table4_100.rt,Table4,BeArVs,100,completeness,Complete,Complete,0.586
./benchmarkTables/Table4_100.rt,Table4,BeUfFs,100,completeness,Complete,Complete,0.607
./benchmarkTables/Table4_100.rt,Table4,BeUfVs,100,completeness,Complete,Complete,0.591
./benchmarkTables/Table1_150.rt,Table1,BeArFs,150,completeness,Incomplete,Incomplete,0.662
./benchmarkTables/Table1_150.rt,Table1,BeArVs,150,completeness,Incomplete,Incomplete,0.614
./benchmarkTables/Table1_150.rt,Table1,BeUfFs,150,completeness,Incomplete,Incomplete,0.642
./benchmarkTables/Table1_150.rt,Table1,BeUfVs,150,completeness,Incomplete,Incomplete,0.620
./benchmarkTables/Table2_150.rt,Table2,BeArFs,150,completeness,Complete,Complete,0.562
./benchmarkTables/Table2_150.rt,Table2,BeArVs,150,completeness,Complete,Complete,0.537
./benchmarkTables/Table2_150.rt,Table2,BeUfFs,150,completeness,Complete,Complete,0.547
./benchmarkTables/Table2_150.rt,Table2,BeUfVs,150,completeness,Complete,Complete,0.527
./benchmarkTables/Table3_150.rt,Table3,BeArFs,150,completeness,Incomplete,Incomplete,0.750
./benchmarkTables/Table3_150.rt,Table3,BeArVs,150,completeness,Incomplete,Incomplete,0.697
./benchmarkTables/Table3_150.rt,Table3,BeUfFs,150,completeness,Incomplete,Incomplete,0.722
./benchmarkTables/Table3_150.rt,Table3,BeUfVs,150,completeness,Incomplete,Incomplete,0.706
./benchmarkTables/Table4_150.rt,Table4,BeArFs,150,completeness,Complete,Complete,0.661
./benchmarkTables/Table4_150.rt,Table4,BeArVs,150,completeness,Complete,Complete,0.640
./benchmarkTables/Table4_150.rt,Table4,BeUfFs,150,completeness,Complete,Complete,0.662
./benchmarkTables/Table4_150.rt,Table4,BeUfVs,150,completeness,Complete,Complete,0.639
./benchmarkTables/Table1_200.rt,Table1,BeArFs,200,completeness,Incomplete,Incomplete,0.714
./benchmarkTables/Table1_200.rt,Table1,BeArVs,200,completeness,Incomplete,Incomplete,0.699
./benchmarkTables/Table1_200.rt,Table1,BeUfFs,200,completeness,Incomplete,Incomplete,0.706
./benchmarkTables/Table1_200.rt,Table1,BeUfVs,200,completeness,Incomplete,Incomplete,0.684
./benchmarkTables/Table2_200.rt,Table2,BeArFs,200,completeness,Complete,Complete,0.581
./benchmarkTables/Table2_200.rt,Table2,BeArVs,200,completeness,Complete,Complete,0.543
./benchmarkTables/Table2_200.rt,Table2,BeUfFs,200,completeness,Complete,Complete,0.558
./benchmarkTables/Table2_200.rt,Table2,BeUfVs,200,completeness,Complete,Complete,0.534
./benchmarkTables/Table3_200.rt,Table3,BeArFs,200,completeness,Incomplete,Incomplete,0.795
./benchmarkTables/Table3_200.rt,Table3,BeArVs,200,completeness,Incomplete,Incomplete,0.798
