inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_10.rt,Table1,BeArFs,10,consistency,Inconsistent,Inconsistent,0.565
./benchmarkTables/Table1_10.rt,Table1,BeArVs,10,consistency,Inconsistent,Inconsistent,0.554
./benchmarkTables/Table1_10.rt,Table1,BeUfFs,10,consistency,Inconsistent,Inconsistent,0.556
./benchmarkTables/Table1_10.rt,Table1,BeUfVs,10,consistency,Inconsistent,Inconsistent,0.560
./benchmarkTables/Table2_10.rt,Table2,BeArFs,10,consistency,Inconsistent,Inconsistent,0.539
./benchmarkTables/Table2_10.rt,Table2,BeArVs,10,consistency,Inconsistent,Inconsistent,0.563
./benchmarkTables/Table2_10.rt,Table2,BeUfFs,10,consistency,Inconsistent,Inconsistent,0.559
./benchmarkTables/Table2_10.rt,Table2,BeUfVs,10,consistency,Inconsistent,Inconsistent,0.561
./benchmarkTables/Table3_10.rt,Table3,BeArFs,10,consistency,Consistent,Consistent,17.089
./benchmarkTables/Table3_10.rt,Table3,BeArVs,10,consistency,Consistent,Consistent,3918.387
./benchmarkTables/Table3_10.rt,Table3,BeUfFs,10,consistency,Consistent,Consistent,4.969
./benchmarkTables/Table3_10.rt,Table3,BeUfVs,10,consistency,Consistent,Consistent,3.332
./benchmarkTables/Table4_10.rt,Table4,BeArFs,10,consistency,Consistent,Consistent,1002.624
./benchmarkTables/Table4_10.rt,Table4,BeArVs,10,consistency,Consistent,Consistent,257.199
./benchmarkTables/Table4_10.rt,Table4,BeUfFs,10,consistency,Consistent,Consistent,3173.575
./benchmarkTables/Table4_10.rt,Table4,BeUfVs,10,consistency,Unknown,Consistent,6416.839
./benchmarkTables/Table1_15.rt,Table1,BeArFs,15,consistency,Inconsistent,Inconsistent,0.584
./benchmarkTables/Table1_15.rt,Table1,BeArVs,15,consistency,Inconsistent,Inconsistent,0.586
./benchmarkTables/Table1_15.rt,Table1,BeUfFs,15,consistency,Inconsistent,Inconsistent,0.571
./benchmarkTables/Table1_15.rt,Table1,BeUfVs,15,consistency,Inconsistent,Inconsistent,0.581
./benchmarkTables/Table2_15.rt,Table2,BeArFs,15,consistency,Inconsistent,Inconsistent,0.587
./benchmarkTables/Table2_15.rt,Table2,BeArVs,15,consistency,Inconsistent,Inconsistent,0.592
./benchmarkTables/Table2_15.rt,Table2,BeUfFs,15,consistency,Inconsistent,Inconsistent,0.566
./benchmarkTables/Table2_15.rt,Table2,BeUfVs,15,consistency,Inconsistent,Inconsistent,0.587
./benchmarkTables/Table3_15.rt,Table3,BeArFs,15,consistency,Unknown,Consistent,7159.729
./benchmarkTables/Table3_15.rt,Table3,BeArVs,15,consistency,Unknown,Consistent,7172.353
./benchmarkTables/Table3_15.rt,Table3,BeUfFs,15,consistency,Unknown,Consistent,7165.935
./benchmarkTables/Table3_15.rt,Table3,BeUfVs,15,consistency,Unknown,Consistent,7168.472
./benchmarkTables/Table4_15.rt,Table4,BeArFs,15,consistency,Unknown,Consistent,7165.634
./benchmarkTables/Table4_15.rt,Table4,BeArVs,15,consistency,Unknown,Consistent,7158.987
./benchmarkTables/Table4_15.rt,Table4,BeUfFs,15,consistency,Consistent,Consistent,571.202
./benchmarkTables/Table4_15.rt,Table4,BeUfVs,15,consistency,Unknown,Consistent,7158.031
./benchmarkTables/Table1_20.rt,Table1,BeArFs,20,consistency,Inconsistent,Inconsistent,0.566
./benchmarkTables/Table1_20.rt,Table1,BeArVs,20,consistency,Inconsistent,Inconsistent,0.549
./benchmarkTables/Table1_20.rt,Table1,BeUfFs,20,consistency,Inconsistent,Inconsistent,0.551
./benchmarkTables/Table1_20.rt,Table1,BeUfVs,20,consistency,Inconsistent,Inconsistent,0.567
./benchmarkTables/Table2_20.rt,Table2,BeArFs,20,consistency,Inconsistent,Inconsistent,0.564
./benchmarkTables/Table2_20.rt,Table2,BeArVs,20,consistency,Inconsistent,Inconsistent,0.571
./benchmarkTables/Table2_20.rt,Table2,BeUfFs,20,consistency,Inconsistent,Inconsistent,0.568
./benchmarkTables/Table2_20.rt,Table2,BeUfVs,20,consistency,Inconsistent,Inconsistent,0.554
./benchmarkTables/Table3_20.rt,Table3,BeArFs,20,consistency,Unknown,Consistent,7159.997
./benchmarkTables/Table3_20.rt,Table3,BeArVs,20,consistency,Unknown,Consistent,7172.113
./benchmarkTables/Table3_20.rt,Table3,BeUfFs,20,consistency,Unknown,Consistent,7172.070
./benchmarkTables/Table3_20.rt,Table3,BeUfVs,20,consistency,Unknown,Consistent,7172.604
./benchmarkTables/Table4_20.rt,Table4,BeArFs,20,consistency,Unknown,Consistent,7171.948
./benchmarkTables/Table4_20.rt,Table4,BeArVs,20,consistency,Unknown,Consistent,7175.324
./benchmarkTables/Table4_20.rt,Table4,BeUfFs,20,consistency,Unknown,Consistent,7172.386
./benchmarkTables/Table4_20.rt,Table4,BeUfVs,20,consistency,Unknown,Consistent,7164.837
./benchmarkTables/Table1_25.rt,Table1,BeArFs,25,consistency,Inconsistent,Inconsistent,0.644
./benchmarkTables/Table1_25.rt,Table1,BeArVs,25,consistency,Inconsistent,Inconsistent,0.634
./benchmarkTables/Table1_25.rt,Table1,BeUfFs,25,consistency,Inconsistent,Inconsistent,0.642
./benchmarkTables/Table1_25.rt,Table1,BeUfVs,25,consistency,Inconsistent,Inconsistent,0.635
./benchmarkTables/Table2_25.rt,Table2,BeArFs,25,consistency,Inconsistent,Inconsistent,0.645
./benchmarkTables/Table2_25.rt,Table2,BeArVs,25,consistency,Inconsistent,Inconsistent,0.648
./benchmarkTables/Table2_25.rt,Table2,BeUfFs,25,consistency,Inconsistent,Inconsistent,0.632
./benchmarkTables/Table2_25.rt,Table2,BeUfVs,25,consistency,Inconsistent,Inconsistent,0.648
./benchmarkTables/Table3_25.rt,Table3,BeArFs,25,consistency,Unknown,Consistent,7180.786
./benchmarkTables/Table3_25.rt,Table3,BeArVs,25,consistency,Unknown,Consistent,7183.460
./benchmarkTables/Table3_25.rt,Table3,BeUfFs,25,consistency,Unknown,Consistent,7185.957
./benchmarkTables/Table3_25.rt,Table3,BeUfVs,25,consistency,Unknown,Consistent,7180.872
./benchmarkTables/Table4_25.rt,Table4,BeArFs,25,consistency,Unknown,Consistent,7160.723
./benchmarkTables/Table4_25.rt,Table4,BeArVs,25,consistency,Unknown,Consistent,7160.428
./benchmarkTables/Table4_25.rt,Table4,BeUfFs,25,consistency,Unknown,Consistent,7162.962
./benchmarkTables/Table4_25.rt,Table4,BeUfVs,25,consistency,Unknown,Consistent,7155.418
./benchmarkTables/Table1_30.rt,Table1,BeArFs,30,consistency,Inconsistent,Inconsistent,0.605
./benchmarkTables/Table1_30.rt,Table1,BeArVs,30,consistency,Inconsistent,Inconsistent,0.595
./benchmarkTables/Table1_30.rt,Table1,BeUfFs,30,consistency,Inconsistent,Inconsistent,0.573
./benchmarkTables/Table1_30.rt,Table1,BeUfVs,30,consistency,Inconsistent,Inconsistent,0.595
./benchmarkTables/Table2_30.rt,Table2,BeArFs,30,consistency,Inconsistent,Inconsistent,0.573
./benchmarkTables/Table2_30.rt,Table2,BeArVs,30,consistency,Inconsistent,Inconsistent,0.595
./benchmarkTables/Table2_30.rt,Table2,BeUfFs,30,consistency,Inconsistent,Inconsistent,0.599
./benchmarkTables/Table2_30.rt,Table2,BeUfVs,30,consistency,Inconsistent,Inconsistent,0.580
./benchmarkTables/Table3_30.rt,Table3,BeArFs,30,consistency,Unknown,Consistent,7171.578
./benchmarkTables/Table3_30.rt,Table3,BeArVs,30,consistency,Consistent,Consistent,3275.866
./benchmarkTables/Table3_30.rt,Table3,BeUfFs,30,consistency,Consistent,Consistent,2981.598
./benchmarkTables/Table3_30.rt,Table3,BeUfVs,30,consistency,Unknown,Consistent,7170.277
./benchmarkTables/Table4_30.rt,Table4,BeArFs,30,consistency,Unknown,Consistent,7167.839
./benchmarkTables/Table4_30.rt,Table4,BeArVs,30,consistency,Unknown,Consistent,7169.136
./benchmarkTables/Table4_30.rt,Table4,BeUfFs,30,consistency,Unknown,Consistent,7170.696
./benchmarkTables/Table4_30.rt,Table4,BeUfVs,30,consistency,Unknown,Consistent,7161.455

./benchmarkTables/Table1_40.rt,Table1,BeArFs,40,consistency,Inconsistent,Inconsistent,0.565
./benchmarkTables/Table1_40.rt,Table1,BeArVs,40,consistency,Inconsistent,Inconsistent,0.548
./benchmarkTables/Table1_40.rt,Table1,BeUfFs,40,consistency,Inconsistent,Inconsistent,0.563
./benchmarkTables/Table1_40.rt,Table1,BeUfVs,40,consistency,Inconsistent,Inconsistent,0.557
./benchmarkTables/Table2_40.rt,Table2,BeArFs,40,consistency,Inconsistent,Inconsistent,0.553
./benchmarkTables/Table2_40.rt,Table2,BeArVs,40,consistency,Inconsistent,Inconsistent,0.536
./benchmarkTables/Table2_40.rt,Table2,BeUfFs,40,consistency,Inconsistent,Inconsistent,0.563
./benchmarkTables/Table2_40.rt,Table2,BeUfVs,40,consistency,Inconsistent,Inconsistent,0.548
./benchmarkTables/Table3_40.rt,Table3,BeArFs,40,consistency,Unknown,Consistent,7174.742
./benchmarkTables/Table3_40.rt,Table3,BeArVs,40,consistency,Unknown,Consistent,7174.316
./benchmarkTables/Table3_40.rt,Table3,BeUfFs,40,consistency,Unknown,Consistent,7175.211
./benchmarkTables/Table3_40.rt,Table3,BeUfVs,40,consistency,Unknown,Consistent,7174.718
./benchmarkTables/Table4_40.rt,Table4,BeArFs,40,consistency,Unknown,Consistent,0.435
./benchmarkTables/Table4_40.rt,Table4,BeArVs,40,consistency,Unknown,Consistent,7159.280
./benchmarkTables/Table4_40.rt,Table4,BeUfFs,40,consistency,Unknown,Consistent,7169.669
./benchmarkTables/Table4_40.rt,Table4,BeUfVs,40,consistency,Unknown,Consistent,7165.078

./benchmarkTables/Table1_10.rt,Table1,BeArFs,10,consistency,Inconsistent,Inconsistent,0.580
./benchmarkTables/Table1_10.rt,Table1,BeArVs,10,consistency,Inconsistent,Inconsistent,0.558
./benchmarkTables/Table1_10.rt,Table1,BeUfFs,10,consistency,Inconsistent,Inconsistent,0.570
./benchmarkTables/Table1_10.rt,Table1,BeUfVs,10,consistency,Inconsistent,Inconsistent,0.570
./benchmarkTables/Table2_10.rt,Table2,BeArFs,10,consistency,Inconsistent,Inconsistent,0.569
./benchmarkTables/Table2_10.rt,Table2,BeArVs,10,consistency,Inconsistent,Inconsistent,0.564
./benchmarkTables/Table2_10.rt,Table2,BeUfFs,10,consistency,Inconsistent,Inconsistent,0.568
./benchmarkTables/Table2_10.rt,Table2,BeUfVs,10,consistency,Inconsistent,Inconsistent,0.551
./benchmarkTables/Table3_10.rt,Table3,BeArFs,10,consistency,Consistent,Consistent,16.916
./benchmarkTables/Table3_10.rt,Table3,BeArVs,10,consistency,Consistent,Consistent,3946.342
./benchmarkTables/Table3_10.rt,Table3,BeUfFs,10,consistency,Consistent,Consistent,4.952
./benchmarkTables/Table3_10.rt,Table3,BeUfVs,10,consistency,Consistent,Consistent,3.326
./benchmarkTables/Table4_10.rt,Table4,BeArFs,10,consistency,Consistent,Consistent,999.384
./benchmarkTables/Table4_10.rt,Table4,BeArVs,10,consistency,Consistent,Consistent,256.491
