inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_800.rt,Table1,BeArFs,800,consistency,Inconsistent,Inconsistent,9.920
./benchmarkTables/Table1_800.rt,Table1,BeArVs,800,consistency,Inconsistent,Inconsistent,9.599
./benchmarkTables/Table1_800.rt,Table1,BeUfFs,800,consistency,Inconsistent,Inconsistent,3.192
./benchmarkTables/Table1_800.rt,Table1,BeUfVs,800,consistency,Inconsistent,Inconsistent,2.986
./benchmarkTables/Table2_800.rt,Table2,BeArFs,800,consistency,Inconsistent,Inconsistent,9.783
./benchmarkTables/Table2_800.rt,Table2,BeArVs,800,consistency,Inconsistent,Inconsistent,9.453
./benchmarkTables/Table2_800.rt,Table2,BeUfFs,800,consistency,Inconsistent,Inconsistent,2.952
./benchmarkTables/Table2_800.rt,Table2,BeUfVs,800,consistency,Inconsistent,Inconsistent,2.713
./benchmarkTables/Table3_800.rt,Table3,BeArFs,800,consistency,Unknown,Consistent,7134.006
./benchmarkTables/Table3_800.rt,Table3,BeArVs,800,consistency,Unknown,Consistent,7128.596
./benchmarkTables/Table3_800.rt,Table3,BeUfFs,800,consistency,Unknown,Consistent,7135.501
./benchmarkTables/Table3_800.rt,Table3,BeUfVs,800,consistency,Unknown,Consistent,7137.235
./benchmarkTables/Table4_800.rt,Table4,BeArFs,800,consistency,Unknown,Consistent,7098.971
./benchmarkTables/Table4_800.rt,Table4,BeArVs,800,consistency,Unknown,Consistent,7097.974
./benchmarkTables/Table4_800.rt,Table4,BeUfFs,800,consistency,Unknown,Consistent,7097.061
./benchmarkTables/Table4_800.rt,Table4,BeUfVs,800,consistency,Unknown,Consistent,7103.250
./benchmarkTables/Table1_850.rt,Table1,BeArFs,850,consistency,Inconsistent,Inconsistent,11.106
./benchmarkTables/Table1_850.rt,Table1,BeArVs,850,consistency,Inconsistent,Inconsistent,11.124
./benchmarkTables/Table1_850.rt,Table1,BeUfFs,850,consistency,Inconsistent,Inconsistent,3.358
