inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_5.rt,Table1,BeArFs,105,consistency,Consistent,Inconsistent,0.881
./benchmarkTables/Table1_5.rt,Table1,BeArVs,105,consistency,Consistent,Inconsistent,0.870
./benchmarkTables/Table1_5.rt,Table1,BeUfFs,105,consistency,Consistent,Inconsistent,0.870
./benchmarkTables/Table1_5.rt,Table1,BeUfVs,105,consistency,Consistent,Inconsistent,0.857
./benchmarkTables/Table2_5.rt,Table2,BeArFs,105,consistency,Consistent,Inconsistent,0.677
./benchmarkTables/Table2_5.rt,Table2,BeArVs,105,consistency,Consistent,Inconsistent,0.650
./benchmarkTables/Table2_5.rt,Table2,BeUfFs,105,consistency,Consistent,Inconsistent,0.666
./benchmarkTables/Table2_5.rt,Table2,BeUfVs,105,consistency,Consistent,Inconsistent,0.638
./benchmarkTables/Table3_5.rt,Table3,BeArFs,105,consistency,Unknown,Consistent,597.113
./benchmarkTables/Table3_5.rt,Table3,BeArVs,105,consistency,Consistent,Consistent,457.084
./benchmarkTables/Table3_5.rt,Table3,BeUfFs,105,consistency,Unknown,Consistent,595.356
./benchmarkTables/Table3_5.rt,Table3,BeUfVs,105,consistency,Consistent,Consistent,456.660
./benchmarkTables/Table4_5.rt,Table4,BeArFs,105,consistency,Unknown,Consistent,596.770
./benchmarkTables/Table4_5.rt,Table4,BeArVs,105,consistency,Unknown,Consistent,596.281
./benchmarkTables/Table4_5.rt,Table4,BeUfFs,105,consistency,Unknown,Consistent,596.043
./benchmarkTables/Table4_5.rt,Table4,BeUfVs,105,consistency,Unknown,Consistent,596.022
./benchmarkTables/Table1_10.rt,Table1,BeArFs,110,consistency,Consistent,Inconsistent,0.958
./benchmarkTables/Table1_10.rt,Table1,BeArVs,110,consistency,Consistent,Inconsistent,0.898
./benchmarkTables/Table1_10.rt,Table1,BeUfFs,110,consistency,Consistent,Inconsistent,0.920
./benchmarkTables/Table1_10.rt,Table1,BeUfVs,110,consistency,Consistent,Inconsistent,0.914
./benchmarkTables/Table2_10.rt,Table2,BeArFs,110,consistency,Consistent,Inconsistent,0.680
./benchmarkTables/Table2_10.rt,Table2,BeArVs,110,consistency,Consistent,Inconsistent,0.656
./benchmarkTables/Table2_10.rt,Table2,BeUfFs,110,consistency,Consistent,Inconsistent,0.674
./benchmarkTables/Table2_10.rt,Table2,BeUfVs,110,consistency,Consistent,Inconsistent,0.665
./benchmarkTables/Table3_10.rt,Table3,BeArFs,110,consistency,Unknown,Consistent,597.045
./benchmarkTables/Table3_10.rt,Table3,BeArVs,110,consistency,Unknown,Consistent,595.969
./benchmarkTables/Table3_10.rt,Table3,BeUfFs,110,consistency,Unknown,Consistent,594.879
./benchmarkTables/Table3_10.rt,Table3,BeUfVs,110,consistency,Unknown,Consistent,595.626
./benchmarkTables/Table4_10.rt,Table4,BeArFs,110,consistency,Unknown,Consistent,595.725
./benchmarkTables/Table4_10.rt,Table4,BeArVs,110,consistency,Unknown,Consistent,596.230
./benchmarkTables/Table4_10.rt,Table4,BeUfFs,110,consistency,Unknown,Consistent,595.996
./benchmarkTables/Table4_10.rt,Table4,BeUfVs,110,consistency,Unknown,Consistent,595.636
./benchmarkTables/Table1_15.rt,Table1,BeArFs,115,consistency,Consistent,Inconsistent,0.928
./benchmarkTables/Table1_15.rt,Table1,BeArVs,115,consistency,Consistent,Inconsistent,0.930
