inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_50.rt,Table1,BeArFs,50,completeness,Incomplete,Incomplete,0.600000
./benchmarkTables/Table1_50.rt,Table1,BeArVs,50,completeness,Incomplete,Incomplete,0.584800
./benchmarkTables/Table1_50.rt,Table1,BeUfFs,50,completeness,Incomplete,Incomplete,0.580667
./benchmarkTables/Table1_50.rt,Table1,BeUfVs,50,completeness,Incomplete,Incomplete,0.576600
./benchmarkTables/Table2_50.rt,Table2,BeArFs,50,completeness,Complete,Complete,0.546375
./benchmarkTables/Table2_50.rt,Table2,BeArVs,50,completeness,Complete,Complete,0.546400
./benchmarkTables/Table2_50.rt,Table2,BeUfFs,50,completeness,Complete,Complete,0.549000
./benchmarkTables/Table2_50.rt,Table2,BeUfVs,50,completeness,Complete,Complete,0.535300
./benchmarkTables/Table3_50.rt,Table3,BeArFs,50,completeness,Incomplete,Incomplete,0.617556
./benchmarkTables/Table3_50.rt,Table3,BeArVs,50,completeness,Incomplete,Incomplete,0.602111
./benchmarkTables/Table3_50.rt,Table3,BeUfFs,50,completeness,Incomplete,Incomplete,0.630125
./benchmarkTables/Table3_50.rt,Table3,BeUfVs,50,completeness,Incomplete,Incomplete,0.606250
./benchmarkTables/Table4_50.rt,Table4,BeArFs,50,completeness,Complete,Complete,0.595700
./benchmarkTables/Table4_50.rt,Table4,BeArVs,50,completeness,Complete,Complete,0.580600
./benchmarkTables/Table4_50.rt,Table4,BeUfFs,50,completeness,Complete,Complete,0.600900
./benchmarkTables/Table4_50.rt,Table4,BeUfVs,50,completeness,Complete,Complete,0.583400
./benchmarkTables/Table1_100.rt,Table1,BeArFs,100,completeness,Incomplete,Incomplete,0.639700
./benchmarkTables/Table1_100.rt,Table1,BeArVs,100,completeness,Incomplete,Incomplete,0.638600
./benchmarkTables/Table1_100.rt,Table1,BeUfFs,100,completeness,Incomplete,Incomplete,0.637200
./benchmarkTables/Table1_100.rt,Table1,BeUfVs,100,completeness,Incomplete,Incomplete,0.622889
./benchmarkTables/Table2_100.rt,Table2,BeArFs,100,completeness,Complete,Complete,0.570100
