inputfile,table,encoding,bound,check,result,expectedResult,time
./benchmarkTables/Table1_10.rt,Table1,BeArFs,10,consistency,Inconsistent,Inconsistent,0.547600
./benchmarkTables/Table1_10.rt,Table1,BeArVs,10,consistency,Inconsistent,Inconsistent,0.539000
./benchmarkTables/Table1_10.rt,Table1,BeUfFs,10,consistency,Inconsistent,Inconsistent,0.540100
./benchmarkTables/Table1_10.rt,Table1,BeUfVs,10,consistency,Inconsistent,Inconsistent,0.532300
./benchmarkTables/Table2_10.rt,Table2,BeArFs,10,consistency,Inconsistent,Inconsistent,0.535600
./benchmarkTables/Table2_10.rt,Table2,BeArVs,10,consistency,Inconsistent,Inconsistent,0.536889
./benchmarkTables/Table2_10.rt,Table2,BeUfFs,10,consistency,Inconsistent,Inconsistent,0.541200
./benchmarkTables/Table2_10.rt,Table2,BeUfVs,10,consistency,Inconsistent,Inconsistent,0.533400
./benchmarkTables/Table3_10.rt,Table3,BeArFs,10,consistency,Consistent,Consistent,15.326400
./benchmarkTables/Table3_10.rt,Table3,BeArVs,10,consistency,Consistent,Consistent,4634.603000
./benchmarkTables/Table3_10.rt,Table3,BeUfFs,10,consistency,Consistent,Consistent,4.859400
./benchmarkTables/Table3_10.rt,Table3,BeUfVs,10,consistency,Consistent,Consistent,3.313700
./benchmarkTables/Table4_10.rt,Table4,BeArFs,10,consistency,Consistent,Consistent,1009.911000
./benchmarkTables/Table4_10.rt,Table4,BeArVs,10,consistency,Consistent,Consistent,250.505100
./benchmarkTables/Table4_10.rt,Table4,BeUfFs,10,consistency,Consistent,Consistent,3485.157077
./benchmarkTables/Table1_15.rt,Table1,BeArFs,15,consistency,Inconsistent,Inconsistent,0.599900
./benchmarkTables/Table1_15.rt,Table1,BeArVs,15,consistency,Inconsistent,Inconsistent,0.582100
./benchmarkTables/Table1_15.rt,Table1,BeUfFs,15,consistency,Inconsistent,Inconsistent,0.587800
./benchmarkTables/Table1_15.rt,Table1,BeUfVs,15,consistency,Inconsistent,Inconsistent,0.590200
./benchmarkTables/Table2_15.rt,Table2,BeArFs,15,consistency,Inconsistent,Inconsistent,0.579300
./benchmarkTables/Table2_15.rt,Table2,BeArVs,15,consistency,Inconsistent,Inconsistent,0.574000
./benchmarkTables/Table2_15.rt,Table2,BeUfFs,15,consistency,Inconsistent,Inconsistent,0.574600
./benchmarkTables/Table2_15.rt,Table2,BeUfVs,15,consistency,Inconsistent,Inconsistent,0.571000
./benchmarkTables/Table4_15.rt,Table4,BeUfFs,15,consistency,Consistent,Consistent,529.125100
./benchmarkTables/Table1_20.rt,Table1,BeArFs,20,consistency,Inconsistent,Inconsistent,0.597444
./benchmarkTables/Table1_20.rt,Table1,BeArVs,20,consistency,Inconsistent,Inconsistent,0.580800
./benchmarkTables/Table1_20.rt,Table1,BeUfFs,20,consistency,Inconsistent,Inconsistent,0.585400
./benchmarkTables/Table1_20.rt,Table1,BeUfVs,20,consistency,Inconsistent,Inconsistent,0.580200
./benchmarkTables/Table2_20.rt,Table2,BeArFs,20,consistency,Inconsistent,Inconsistent,0.589800
./benchmarkTables/Table2_20.rt,Table2,BeArVs,20,consistency,Inconsistent,Inconsistent,0.571667
./benchmarkTables/Table2_20.rt,Table2,BeUfFs,20,consistency,Inconsistent,Inconsistent,0.586000
