inputfile,table,encoding,check,result,expectedResult,time
./benchmarkTables/Table1_50.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.558
./benchmarkTables/Table1_50.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.534
./benchmarkTables/Table1_50.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.537
./benchmarkTables/Table1_50.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.534
./benchmarkTables/Table2_50.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.543
./benchmarkTables/Table2_50.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.531
./benchmarkTables/Table2_50.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.550
./benchmarkTables/Table2_50.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.525
./benchmarkTables/Table3_50.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.552
./benchmarkTables/Table3_50.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.566
./benchmarkTables/Table3_50.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.550
./benchmarkTables/Table3_50.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.526
./benchmarkTables/Table4_50.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.555
./benchmarkTables/Table4_50.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.550
./benchmarkTables/Table4_50.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.541
./benchmarkTables/Table4_50.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.522
./benchmarkTables/Table1_100.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.542
./benchmarkTables/Table1_100.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.528
./benchmarkTables/Table1_100.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.544
./benchmarkTables/Table1_100.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.526
./benchmarkTables/Table2_100.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.554
./benchmarkTables/Table2_100.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.532
./benchmarkTables/Table2_100.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.553
./benchmarkTables/Table2_100.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.535
./benchmarkTables/Table3_100.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.535
./benchmarkTables/Table3_100.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.543
./benchmarkTables/Table3_100.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.536
./benchmarkTables/Table3_100.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.536
./benchmarkTables/Table4_100.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.536
./benchmarkTables/Table4_100.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.536
./benchmarkTables/Table4_100.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.560
./benchmarkTables/Table4_100.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.550
./benchmarkTables/Table1_150.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.521
./benchmarkTables/Table1_150.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.514
./benchmarkTables/Table1_150.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.563
./benchmarkTables/Table1_150.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.526
./benchmarkTables/Table2_150.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.531
./benchmarkTables/Table2_150.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.543
./benchmarkTables/Table2_150.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.523
./benchmarkTables/Table2_150.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.537
./benchmarkTables/Table3_150.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.540
./benchmarkTables/Table3_150.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.557
./benchmarkTables/Table3_150.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.544
./benchmarkTables/Table3_150.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.532
./benchmarkTables/Table4_150.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.533
./benchmarkTables/Table4_150.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.541
./benchmarkTables/Table4_150.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.542
./benchmarkTables/Table4_150.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.536
./benchmarkTables/Table1_200.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.547
./benchmarkTables/Table1_200.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.536
./benchmarkTables/Table1_200.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.541
./benchmarkTables/Table1_200.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.526
./benchmarkTables/Table2_200.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.554
./benchmarkTables/Table2_200.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.549
./benchmarkTables/Table2_200.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.536
./benchmarkTables/Table2_200.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.533
./benchmarkTables/Table3_200.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.562
./benchmarkTables/Table3_200.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.536
./benchmarkTables/Table3_200.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.555
./benchmarkTables/Table3_200.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.539
./benchmarkTables/Table4_200.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.551
./benchmarkTables/Table4_200.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.537
./benchmarkTables/Table4_200.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.554
./benchmarkTables/Table4_200.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.538
./benchmarkTables/Table1_250.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.538
./benchmarkTables/Table1_250.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.543
./benchmarkTables/Table1_250.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.545
./benchmarkTables/Table1_250.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.521
./benchmarkTables/Table2_250.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.552
./benchmarkTables/Table2_250.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.532
./benchmarkTables/Table2_250.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.551
./benchmarkTables/Table2_250.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.543
./benchmarkTables/Table3_250.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.551
./benchmarkTables/Table3_250.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.541
./benchmarkTables/Table3_250.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.532
./benchmarkTables/Table3_250.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.554
./benchmarkTables/Table4_250.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.564
./benchmarkTables/Table4_250.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.534
./benchmarkTables/Table4_250.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.547
./benchmarkTables/Table4_250.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.520
./benchmarkTables/Table1_300.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.546
./benchmarkTables/Table1_300.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.550
./benchmarkTables/Table1_300.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.520
./benchmarkTables/Table1_300.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.541
./benchmarkTables/Table2_300.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.553
./benchmarkTables/Table2_300.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.528
./benchmarkTables/Table2_300.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.544
./benchmarkTables/Table2_300.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.537
./benchmarkTables/Table3_300.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.558
./benchmarkTables/Table3_300.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.553
./benchmarkTables/Table3_300.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.545
./benchmarkTables/Table3_300.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.545
./benchmarkTables/Table4_300.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.529
./benchmarkTables/Table4_300.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.540
./benchmarkTables/Table4_300.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.547
./benchmarkTables/Table4_300.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.533
./benchmarkTables/Table1_350.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.560
./benchmarkTables/Table1_350.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.554
./benchmarkTables/Table1_350.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.535
./benchmarkTables/Table1_350.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.540
./benchmarkTables/Table2_350.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.539
./benchmarkTables/Table2_350.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.551
./benchmarkTables/Table2_350.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.540
./benchmarkTables/Table2_350.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.549
./benchmarkTables/Table3_350.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.545
./benchmarkTables/Table3_350.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.543
./benchmarkTables/Table3_350.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.560
./benchmarkTables/Table3_350.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.528
./benchmarkTables/Table4_350.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.559
./benchmarkTables/Table4_350.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.540
./benchmarkTables/Table4_350.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.552
./benchmarkTables/Table4_350.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.541
./benchmarkTables/Table1_400.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.555
./benchmarkTables/Table1_400.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.544
./benchmarkTables/Table1_400.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.539
./benchmarkTables/Table1_400.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.541
./benchmarkTables/Table2_400.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.555
./benchmarkTables/Table2_400.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.539
./benchmarkTables/Table2_400.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.553
./benchmarkTables/Table2_400.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.545
./benchmarkTables/Table3_400.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.553
./benchmarkTables/Table3_400.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.547
./benchmarkTables/Table3_400.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.529
./benchmarkTables/Table3_400.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.538
